account_id,date_col,target,transaction_amount,product_title,review_body,age,account_age_days,annual_income,country,subscription_tier
0,2024-02-26 00:32:42,1,41.76,phone case,amazing value highly recommend,21,1815,68384.93,IN,basic
0,2024-02-26 02:09:40,1,111.4,backpack,works as expected average experience,42,618,45623.07,US,enterprise
0,2024-02-26 02:32:50,1,212.86,backpack,arrived damaged poor packaging,63,642,62770.03,FR,free
0,2024-02-26 03:39:19,1,35.61,laptop stand,great product fast shipping,44,337,81652.31,FR,basic
0,2024-02-26 03:52:13,0,24.14,water bottle,great product fast shipping,18,1371,21497.47,FR,free
0,2024-02-26 04:00:26,1,104.69,water bottle,amazing value highly recommend,66,665,89184.7,DE,premium
0,2024-02-26 07:42:33,1,10.89,bluetooth speaker,stopped working after a week,51,1992,64110.99,UK,basic
0,2024-02-26 08:01:22,0,29.51,desk lamp,perfect fit very comfortable,34,843,93694.88,AU,free
0,2024-02-26 09:45:11,1,81.18,phone case,arrived damaged poor packaging,65,1766,97189.73,FR,enterprise
0,2024-02-26 09:49:13,0,12.21,phone case,amazing value highly recommend,29,1556,74596.14,FR,basic
0,2024-02-26 10:01:51,1,19.46,running shoes,arrived damaged poor packaging,66,1546,63944.25,IN,free
0,2024-02-26 10:42:27,0,18.55,running shoes,works as expected average experience,24,1237,113445.95,US,premium
0,2024-02-26 11:05:06,1,49.8,bluetooth speaker,not worth the price disappointed,21,1776,38096.52,CA,free
0,2024-02-26 11:53:42,1,71.55,backpack,great product fast shipping,64,1819,31741.87,US,free
0,2024-02-26 11:56:09,1,138.14,bluetooth speaker,excellent quality would buy again,48,993,54453.52,CA,free
0,2024-02-26 12:01:30,0,30.22,phone case,perfect fit very comfortable,19,1794,45380.32,US,free
0,2024-02-26 15:56:36,0,3.11,desk lamp,amazing value highly recommend,61,1606,51415.27,CA,free
0,2024-02-26 16:42:42,1,44.07,yoga mat,perfect fit very comfortable,60,1906,81269.03,IN,free
0,2024-02-26 16:43:20,0,25.52,running shoes,excellent quality would buy again,53,1199,60927.39,FR,premium
0,2024-02-26 17:12:33,0,30.44,bluetooth speaker,not worth the price disappointed,31,298,45849.19,FR,basic
0,2024-02-26 17:20:11,0,20.6,desk lamp,stopped working after a week,61,572,43554.0,AU,free
0,2024-02-26 18:31:02,0,25.91,laptop stand,works as expected average experience,19,329,48316.67,AU,free
0,2024-02-26 19:32:11,1,44.19,phone case,works as expected average experience,23,1311,79529.41,UK,premium
0,2024-02-26 21:36:53,1,107.1,running shoes,amazing value highly recommend,67,1539,89597.39,AU,basic
0,2024-02-26 22:30:47,1,208.44,water bottle,works as expected average experience,59,1507,57494.99,DE,basic
0,2024-02-26 23:54:23,0,23.29,backpack,stopped working after a week,37,1994,55600.03,US,premium
1,2024-01-27 01:54:07,0,20.13,desk lamp,great product fast shipping,62,605,57799.03,CA,premium
1,2024-01-27 02:06:12,1,81.45,coffee maker,works as expected average experience,67,1291,97658.21,FR,premium
1,2024-01-27 02:18:48,0,14.05,running shoes,works as expected average experience,67,1526,29399.89,CA,enterprise
1,2024-01-27 02:49:55,1,5.43,bluetooth speaker,excellent quality would buy again,57,1581,86109.14,FR,enterprise
1,2024-01-27 03:03:42,1,42.87,laptop stand,perfect fit very comfortable,54,414,45581.73,US,premium
1,2024-01-27 03:59:20,0,16.73,bluetooth speaker,arrived damaged poor packaging,18,1927,71717.39,IN,free
1,2024-01-27 04:51:24,0,12.87,laptop stand,not worth the price disappointed,56,1230,27950.86,UK,premium
1,2024-01-27 05:43:49,1,73.03,coffee maker,works as expected average experience,53,157,80722.91,CA,free
1,2024-01-27 06:16:02,0,66.85,desk lamp,arrived damaged poor packaging,48,127,49611.28,DE,premium
1,2024-01-27 06:19:28,0,61.69,water bottle,works as expected average experience,54,837,55151.96,CA,free
1,2024-01-27 06:22:51,0,51.97,running shoes,excellent quality would buy again,27,390,38869.37,CA,basic
1,2024-01-27 06:32:01,1,32.52,water bottle,great product fast shipping,53,783,50343.92,US,basic
1,2024-01-27 07:14:10,0,34.2,running shoes,works as expected average experience,47,1830,32564.49,UK,basic
1,2024-01-27 07:20:34,0,20.09,yoga mat,amazing value highly recommend,30,311,43614.24,CA,free
1,2024-01-27 08:08:04,0,28.43,running shoes,excellent quality would buy again,41,634,40303.16,IN,premium
1,2024-01-27 08:13:19,0,32.76,water bottle,amazing value highly recommend,69,1732,28168.67,AU,free
1,2024-01-27 08:41:00,1,8.05,water bottle,amazing value highly recommend,55,1447,59644.68,AU,premium
1,2024-01-27 08:47:25,0,177.11,backpack,amazing value highly recommend,55,743,31961.86,FR,free
1,2024-01-27 09:08:40,1,47.84,phone case,perfect fit very comfortable,24,1346,52744.82,US,free
1,2024-01-27 10:43:42,1,24.96,water bottle,excellent quality would buy again,44,686,35892.62,AU,premium
1,2024-01-27 10:47:04,1,38.21,desk lamp,perfect fit very comfortable,64,102,43978.96,CA,premium
1,2024-01-27 10:56:19,0,13.2,backpack,great product fast shipping,43,199,37557.87,CA,free
1,2024-01-27 10:58:40,1,47.46,water bottle,perfect fit very comfortable,46,35,63519.33,FR,premium
1,2024-01-27 11:52:53,0,24.23,coffee maker,stopped working after a week,41,1028,56456.9,DE,basic
1,2024-01-27 14:34:21,1,10.57,coffee maker,works as expected average experience,45,499,25502.43,CA,premium
1,2024-01-27 15:07:36,0,11.15,phone case,stopped working after a week,30,780,81266.38,US,basic
1,2024-01-27 16:24:31,0,11.83,phone case,amazing value highly recommend,22,361,44310.85,FR,premium
1,2024-01-27 16:47:34,0,129.63,desk lamp,perfect fit very comfortable,61,163,33212.57,IN,basic
1,2024-01-27 16:53:48,0,58.53,running shoes,not worth the price disappointed,50,670,62784.55,IN,free
1,2024-01-27 17:12:19,0,11.04,wireless earbuds,excellent quality would buy again,20,1935,62546.94,CA,basic
1,2024-01-27 17:19:07,1,21.05,coffee maker,arrived damaged poor packaging,54,473,28200.6,UK,premium
1,2024-01-27 17:41:09,0,20.23,phone case,not worth the price disappointed,30,1522,34013.82,DE,premium
1,2024-01-27 18:20:29,1,36.29,phone case,amazing value highly recommend,69,1871,32062.36,DE,basic
1,2024-01-27 18:41:24,0,17.33,desk lamp,works as expected average experience,52,1938,44485.85,CA,free
1,2024-01-27 18:56:10,1,43.06,wireless earbuds,works as expected average experience,43,484,71599.8,FR,enterprise
1,2024-01-27 21:39:44,0,13.69,yoga mat,arrived damaged poor packaging,34,1513,38112.0,DE,free
1,2024-01-27 21:48:21,0,10.32,coffee maker,excellent quality would buy again,45,1369,33498.36,IN,free
1,2024-01-27 23:01:57,1,36.15,laptop stand,stopped working after a week,35,89,59057.19,CA,premium
1,2024-01-27 23:05:07,0,29.07,running shoes,great product fast shipping,63,1796,41921.19,AU,basic
1,2024-01-27 23:15:36,1,43.12,water bottle,stopped working after a week,21,1909,40752.27,CA,free
2,2024-01-10 00:28:06,0,163.7,yoga mat,works as expected average experience,69,1372,38888.25,DE,basic
2,2024-01-10 00:59:55,0,78.5,backpack,amazing value highly recommend,44,722,50385.79,IN,enterprise
2,2024-01-10 02:01:35,0,3.67,laptop stand,works as expected average experience,32,736,44721.12,UK,free
2,2024-01-10 02:16:21,0,25.74,coffee maker,amazing value highly recommend,55,1378,82623.41,UK,free
2,2024-01-10 02:28:54,0,13.04,water bottle,amazing value highly recommend,55,508,51253.26,AU,free
2,2024-01-10 03:21:55,1,18.69,running shoes,great product fast shipping,40,1649,64123.65,CA,free
2,2024-01-10 03:28:06,0,42.42,backpack,excellent quality would buy again,26,1755,71995.0,UK,free
2,2024-01-10 04:05:39,0,8.59,water bottle,excellent quality would buy again,64,470,42241.15,FR,free
